Year,SERIES,ເຂດອ້າງອີງ,ເພດ,UNIT_MEASURE,GeoCode,Value
2015,_L_LA_080504_01,,,ເປີເຊັນ,,18.5
2015,_L_LA_080504_01,,ຜູ້ຊາຍ,ເປີເຊັນ,,8.44
2015,_L_LA_080504_01,,ຜູ້ຍິງ,ເປີເຊັນ,,10.06
2017,_L_LA_080504_01,,,ເປີເຊັນ,,82.66
2017,_L_LA_080504_01,,ຜູ້ຊາຍ,ເປີເຊັນ,,42.66
2017,_L_LA_080504_01,,ຜູ້ຍິງ,ເປີເຊັນ,,40.0
