Year,SERIES,ເຂດອ້າງອີງ,UNIT_MEASURE,GeoCode,Value
2015,_L_LA_170803_01,,ເປີເຊັນ,,21
2016,_L_LA_170803_01,,ເປີເຊັນ,,30
2017,_L_LA_170803_01,,ເປີເຊັນ,,37
2018,_L_LA_170803_01,,ເປີເຊັນ,,47
2019,_L_LA_170803_01,,ເປີເຊັນ,,50
