Year,SERIES,REF_AREA,UNIT_MEASURE,GeoCode,Value
2015,,,ເປີເຊັນ,,158.56
2016,,,ເປີເຊັນ,,188.77
2017,,,ເປີເຊັນ,,271.19
2018,,,ເປີເຊັນ,,244.43
2019,,,ເປີເຊັນ,,178.56
