Year,Value,GeoCode,UNIT_MEASURE,SERIES
2015,36,,Number,_L_LA_170601_01
2016,15,,Number,_L_LA_170601_01
2017,32,,Number,_L_LA_170601_01
2018,48,,Number,_L_LA_170601_01
2019,18,,Number,_L_LA_170601_01
2015,63,,Number,_L_LA_170603_01
2016,46,,Number,_L_LA_170603_01
2017,16,,Number,_L_LA_170603_01
2018,18,,Number,_L_LA_170603_01
2019,18,,Number,_L_LA_170603_01
2015,28,,Number,_L_LA_170603_02
2016,22,,Number,_L_LA_170603_02
2017,23,,Number,_L_LA_170603_02
2018,18,,Number,_L_LA_170603_02
2019,24,,Number,_L_LA_170603_02
