Year,Value,GeoCode,UNIT_MEASURE,SERIES
2015,30,,Percent,_L_LA_170802_01
2016,39,,Percent,_L_LA_170802_01
2017,42,,Percent,_L_LA_170802_01
2018,45,,Percent,_L_LA_170802_01
2019,50,,Percent,_L_LA_170802_01
