Year,Value,GeoCode,UNIT_MEASURE,SERIES
2015,21,,Percent,_L_LA_170803_01
2016,30,,Percent,_L_LA_170803_01
2017,37,,Percent,_L_LA_170803_01
2018,47,,Percent,_L_LA_170803_01
2019,50,,Percent,_L_LA_170803_01
