Year,Value,GeoCode,UNIT_MEASURE,SERIES
2015,30.9,,Percent,_L_LA_080302_01
2016,23.4,,Percent,_L_LA_080302_01
2017,22.3,,Percent,_L_LA_080302_01
2018,20.2,,Percent,_L_LA_080302_01
2019,18.1,,Percent,_L_LA_080302_01
