Year,Value,GeoCode,UNIT_MEASURE,SERIES
2015,10592,,Percent,_L_LA_080503_01
2016,11586,,Percent,_L_LA_080503_01
2017,11855,,Percent,_L_LA_080503_01
2018,11572,,Percent,_L_LA_080503_01
2019,15061,,Percent,_L_LA_080503_01
