Year,Value,GeoCode,UNIT_MEASURE,SERIES
2015,2235,,Percent,_L_LA_080303_01
2016,2537,,Percent,_L_LA_080303_01
2017,2667,,Percent,_L_LA_080303_01
2018,2829,,Percent,_L_LA_080303_01
2019,3966,,Percent,_L_LA_080303_01
