Year,SERIES,ເຂດອ້າງອີງ,UNIT_MEASURE,GeoCode,Value
2015,_L_LA_080302_01,,ເປີເຊັນ,,30.9
2016,_L_LA_080302_01,,ເປີເຊັນ,,23.4
2017,_L_LA_080302_01,,ເປີເຊັນ,,22.3
2018,_L_LA_080302_01,,ເປີເຊັນ,,20.2
2019,_L_LA_080302_01,,ເປີເຊັນ,,18.1
