Year,SERIES,ເຂດອ້າງອີງ,UNIT_MEASURE,GeoCode,Value
2016,"ໂຄງຮ່າງກົດຫມາຍທີ່ສົ່ງເສີມ, ບັງຄັບໃຊ້ ແລະ ຕິດຕາມກວດກາຄວາມສະເຫມີພາບທາງເພດ (ເປີເຊັນຂອງຄວາມສໍາເລັດ, 0 - 100) -- ເຂດ 1: ການຄອບຄອງໂຄງຮ່າງກົດຫມາຍ ແລະ ຊີວິດການເປັນຢູ່ຂອງປະຊາຊົນ. [5.1.1]",,ເລກທີ,,3
2015,_L_LA_0050102_01,,ເລກທີ,,3
