Year,SERIES,Reference area,UNIT_MEASURE,GeoCode,Value
2015,_L_LA_080A01_01,,Number,,26
2016,_L_LA_080A01_01,,Number,,9
2017,_L_LA_080A01_01,,Number,,10
2018,_L_LA_080A01_01,,Number,,10
2019,_L_LA_080A01_01,,Number,,3
