Year,SERIES,Reference area,Sex,UNIT_MEASURE,GeoCode,Value
2015,_L_LA_080504_01,,,Percent,,18.5
2015,_L_LA_080504_01,,Male,Percent,,8.44
2015,_L_LA_080504_01,,Female,Percent,,10.06
2017,_L_LA_080504_01,,,Percent,,82.66
2017,_L_LA_080504_01,,Male,Percent,,42.66
2017,_L_LA_080504_01,,Female,Percent,,40.0
