Year,SERIES,Reference area,UNIT_MEASURE,GeoCode,Value
2015,_L_LA_080503_01,,Percent,,10592
2016,_L_LA_080503_01,,Percent,,11586
2017,_L_LA_080503_01,,Percent,,11855
2018,_L_LA_080503_01,,Percent,,11572
2019,_L_LA_080503_01,,Percent,,15061
