Year,SERIES,Reference area,UNIT_MEASURE,GeoCode,Value
2015,_L_LA_080302_01,,Percent,,30.9
2016,_L_LA_080302_01,,Percent,,23.4
2017,_L_LA_080302_01,,Percent,,22.3
2018,_L_LA_080302_01,,Percent,,20.2
2019,_L_LA_080302_01,,Percent,,18.1
