Year,SERIES,ເຂດອ້າງອີງ,UNIT_MEASURE,GeoCode,Value
2014,_L_LA_030802_01,,ເປີເຊັນ,,38.98
2018,_L_LA_030802_01,,ເປີເຊັນ,,42.9
