Year,SERIES,REF_AREA,UNIT_MEASURE,GeoCode,Value
2017,,,ເປີເຊັນ,,83.1
2017,,,ເປີເຊັນ,,74.3
2017,,,ເປີເຊັນ,,78.1
2017,,,ເປີເຊັນ,,93.4
2017,,,ເປີເຊັນ,,83.4
