Year,SERIES,ເຂດອ້າງອີງ,UNIT_MEASURE,GeoCode,Value
2015,_L_LA_170802_01,,ເປີເຊັນ,,30
2016,_L_LA_170802_01,,ເປີເຊັນ,,39
2017,_L_LA_170802_01,,ເປີເຊັນ,,42
2018,_L_LA_170802_01,,ເປີເຊັນ,,45
2019,_L_LA_170802_01,,ເປີເຊັນ,,50
