Year,SERIES,Reference area,UNIT_MEASURE,GeoCode,Value
2015,_L_LA_170803_01,,Percent,,21
2016,_L_LA_170803_01,,Percent,,30
2017,_L_LA_170803_01,,Percent,,37
2018,_L_LA_170803_01,,Percent,,47
2019,_L_LA_170803_01,,Percent,,50
