Year,SERIES,ເຂດອ້າງອີງ,UNIT_MEASURE,GeoCode,Value
2015,_L_LA_030801_01,,ເປີເຊັນ,,52.0
2016,_L_LA_030801_01,,ເປີເຊັນ,,56.1
2017,_L_LA_030801_01,,ເປີເຊັນ,,62.2
2018,_L_LA_030801_01,,ເປີເຊັນ,,68.1
2019,_L_LA_030801_01,,ເປີເຊັນ,,70.4
2015,_L_LA_030801_02,,ເປີເຊັນ,,80.0
2017,_L_LA_030801_02,,ເປີເຊັນ,,59.7
