Year,SERIES,REF_AREA,UNIT_MEASURE,GeoCode,Value
2015,,,ເປີເຊັນ,,16.8
2016,,,ເປີເຊັນ,,16.7
2017,,,ເປີເຊັນ,,16.5
2018,,,ເປີເຊັນ,,16.5
