Year,SERIES,ເຂດອ້າງອີງ,ລະດັບການສຶກສາ,UNIT_MEASURE,GeoCode,Value
2017,_L_LA_040501_02,,ການສຶກສາຊັ້ນປະຖົມສຶກສາ,ເປີເຊັນ,,1.0
2017,_L_LA_040501_02,,ການສຶກສາທົ່ວໄປຊັ້ນມັດທະຍົມຕອນລຸ່ມ,ເປີເຊັນ,,0.939
2017,_L_LA_040501_02,,ຊັ້ນມັດທະຍົມສຶກສາຊັ້ນມັດທະຍົມສຶກສາ,ເປີເຊັນ,,0.905
