Year,SERIES,ເຂດອ້າງອີງ,ເພດ,UNIT_MEASURE,GeoCode,Value
2017,_L_LA_040303_01,,,ເປີເຊັນ,,84450
2017,_L_LA_040303_01,,ຜູ້ຊາຍ,ເປີເຊັນ,,49682
2017,_L_LA_040303_01,,ຜູ້ຍິງ,ເປີເຊັນ,,34768
