Year,SERIES,ເຂດອ້າງອີງ,ລະດັບການສຶກສາ,UNIT_MEASURE,GeoCode,Value
2015,_L_LA_040106_01,,ການສຶກສາຊັ້ນປະຖົມສຶກສາ,ເປີເຊັນ,,16.7
2015,_L_LA_040106_01,,ການສຶກສາທົ່ວໄປຊັ້ນມັດທະຍົມຕອນລຸ່ມ,ເປີເຊັນ,,26.2
2016,_L_LA_040106_01,,ການສຶກສາຊັ້ນປະຖົມສຶກສາ,ເປີເຊັນ,,14.2
2016,_L_LA_040106_01,,ການສຶກສາທົ່ວໄປຊັ້ນມັດທະຍົມຕອນລຸ່ມ,ເປີເຊັນ,,28.4
2017,_L_LA_040106_01,,ການສຶກສາຊັ້ນປະຖົມສຶກສາ,ເປີເຊັນ,,12.7
2017,_L_LA_040106_01,,ການສຶກສາທົ່ວໄປຊັ້ນມັດທະຍົມຕອນລຸ່ມ,ເປີເຊັນ,,24.1
2018,_L_LA_040106_01,,ການສຶກສາຊັ້ນປະຖົມສຶກສາ,ເປີເຊັນ,,10.6
2018,_L_LA_040106_01,,ການສຶກສາທົ່ວໄປຊັ້ນມັດທະຍົມຕອນລຸ່ມ,ເປີເຊັນ,,9.2
