Year,SERIES,REF_AREA,UNIT_MEASURE,GeoCode,Value
2015,,,PT,,158.56
2016,,,PT,,188.77
2017,,,PT,,271.19
2018,,,PT,,244.43
2019,,,PT,,178.56
