Value,lo,en,Disaggregation combinations using this value,Number of indicators
Y_GE65,65 ປີແລະຫຼາຍກວ່າ,65 years old and over,2,2
Y0T14,ອາຍຸຕ່ໍາກວ່າ 15 ປີ,under 15 years old,2,2
Y15T24,15 ຫາ 24 ປີ,15 to 24 years old,2,2
Y55T64,55 ຫາ 64 ປີ,55 to 64 years old,2,2
