Year,SERIES,Reference area,UNIT_MEASURE,GeoCode,Value
2015,_L_LA_170802_01,,Percent,,30
2016,_L_LA_170802_01,,Percent,,39
2017,_L_LA_170802_01,,Percent,,42
2018,_L_LA_170802_01,,Percent,,45
2019,_L_LA_170802_01,,Percent,,50
