Year,SERIES,ເຂດອ້າງອີງ,UNIT_MEASURE,GeoCode,Value
2015,_L_LA_080A01_01,,ເລກທີ,,26
2016,_L_LA_080A01_01,,ເລກທີ,,9
2017,_L_LA_080A01_01,,ເລກທີ,,10
2018,_L_LA_080A01_01,,ເລກທີ,,10
2019,_L_LA_080A01_01,,ເລກທີ,,3
