Year,SERIES,ເຂດອ້າງອີງ,UNIT_MEASURE,GeoCode,Value
2016,_L_LA_050502_01,,ເປີເຊັນ,,22.96
2016,_L_LA_050502_02,,ເປີເຊັນ,,17.79
2016,_L_LA_050502_03,,ເປີເຊັນ,,16.03
2016,_L_LA_050502_04,,ເປີເຊັນ,,15.26
2016,_L_LA_050502_06,,ເປີເຊັນ,,2.67
2016,_L_LA_050502_05,,ເປີເຊັນ,,11.61
2018,_L_LA_050502_06,,ເປີເຊັນ,,2.35
2018,_L_LA_050502_05,,ເປີເຊັນ,,11.82
