Year,SERIES,Reference area,Education level,UNIT_MEASURE,GeoCode,Value
2017,_L_LA_040304_01,,Lower secondary general education,Percent,,0.5
2017,_L_LA_040304_01,,Upper secondary general education,Percent,,6.5
