Year,SERIES,REF_AREA,ເພດ,ລະດັບການເມືອງ,INCOME_WEALTH_QUANTILE,UNIT_MEASURE,GeoCode,Value
2015,,,,,,PT,,35.5
2018,,,,,,PT,,33.0
2018,,,,ຕົວເມືອງ,,PT,,21.5
2018,,,,ຊົນນະບົດ,,PT,,37.2
2018,,,ຜູ້ຊາຍ,,,PT,,34.0
2018,,,ຜູ້ຍິງ,,,PT,,32.0
2018,,,,,Q1,PT,,48.0
2018,,,,,Q2,PT,,40.5
2018,,,,,Q3,PT,,30.0
2018,,,,,Q4,PT,,22.8
2018,,,,,Q5,PT,,13.9
2012,,,,,,PT,,42.0
2018,,,,,,PT,,25.4
2018,,,,ຕົວເມືອງ,,PT,,16.8
2018,,,,ຊົນນະບົດ,,PT,,28.6
2018,,,ຜູ້ຊາຍ,,,PT,,27.7
2018,,,ຜູ້ຍິງ,,,PT,,22.8
2018,,,,,Q1,PT,,36.2
2018,,,,,Q2,PT,,31.9
2018,,,,,Q3,PT,,22.2
2018,,,,,Q4,PT,,18.0
2018,,,,,Q5,PT,,12.3
