Year,Value,GeoCode,UNIT_MEASURE,SERIES
2015,20.0,,PT,SN_ITK_DEFC
2016,16.7,,PT,SN_ITK_DEFC
2017,16.5,,PT,SN_ITK_DEFC
2018,16.5,,PT,SN_ITK_DEFC
