Year,SERIES,REF_AREA,ເພດ,AGE,ລະດັບການເມືອງ,UNIT_MEASURE,GeoCode,Value
1993,,,,,,PT,,46.0
1998,,,,,,PT,,39.0
2003,,,,,,PT,,33.5
2008,,,,,,PT,,27.6
2013,,,,,,PT,,24.6
2018,,,,,,PT,,18.3
2013,,,,,ຕົວເມືອງ,PT,,7.9
2018,,,,,ຕົວເມືອງ,PT,,7.0
2013,,,,,ຊົນນະບົດ,PT,,31.4
2018,,,,,ຊົນນະບົດ,PT,,23.8
2013,,,ຜູ້ຊາຍ,,,PT,,24.7
2018,,,ຜູ້ຊາຍ,,,PT,,18.5
2013,,,ຜູ້ຍິງ,,,PT,,24.6
2018,,,ຜູ້ຍິງ,,,PT,,18.2
2013,,,,Y0T14,,PT,,32.6
2013,,,,Y15T24,,PT,,22.7
2013,,,,Y55T64,,PT,,18.0
2013,,,,Y_GE65,,PT,,22.1
2018,,,,Y0T14,,PT,,24.3
2018,,,,Y15T24,,PT,,19.7
2018,,,,Y55T64,,PT,,12.4
2018,,,,Y_GE65,,PT,,15.1
