Year,SERIES,Reference area,Sex,UNIT_MEASURE,GeoCode,Value
2017,_L_LA_040303_01,,,Percent,,84450
2017,_L_LA_040303_01,,Male,Percent,,49682
2017,_L_LA_040303_01,,Female,Percent,,34768
