Year,Value,GeoCode,UNIT_MEASURE,SERIES
1993,46.0,,PT,
1998,39.0,,PT,
2003,33.5,,PT,
2008,27.6,,PT,
2013,24.6,,PT,
2018,18.3,,PT,
