Year,Value,GeoCode,UNIT_MEASURE,SERIES
2015,158.56,,ເປີເຊັນ,
2016,188.77,,ເປີເຊັນ,
2017,271.19,,ເປີເຊັນ,
2018,244.43,,ເປີເຊັນ,
2019,178.56,,ເປີເຊັນ,
