Year,Value,GeoCode,UNIT_MEASURE,SERIES
2015,21,,ເປີເຊັນ,_L_LA_170803_01
2016,30,,ເປີເຊັນ,_L_LA_170803_01
2017,37,,ເປີເຊັນ,_L_LA_170803_01
2018,47,,ເປີເຊັນ,_L_LA_170803_01
2019,50,,ເປີເຊັນ,_L_LA_170803_01
