Year,Value,GeoCode,UNIT_MEASURE,SERIES
2015,2235,,ເປີເຊັນ,_L_LA_080303_01
2016,2537,,ເປີເຊັນ,_L_LA_080303_01
2017,2667,,ເປີເຊັນ,_L_LA_080303_01
2018,2829,,ເປີເຊັນ,_L_LA_080303_01
2019,3966,,ເປີເຊັນ,_L_LA_080303_01
