Year,Value,GeoCode,UNIT_MEASURE,SERIES
2015,20.0,,ເປີເຊັນ,
2016,16.7,,ເປີເຊັນ,
2017,16.5,,ເປີເຊັນ,
2018,16.5,,ເປີເຊັນ,
